Text,Normal,Toxic
ไปลงนรกซะไป ไอ้พวกหน้าตัวเมีย,,1
วันก่อนไปสวนลุม เจอเหี้ยตัวใหญ่มาก นอนอาบแดดอยู่,1,
ดอกไม้จันทน์ในพิธีศพ เป็นส่วนหนึ่งของวัฒนธรรมไทย,1,
อี dorg thong อย่ามาตอแหลแถวนี้,,1
สาระแนจังเลยเรื่องคนอื่นเนี่ย ไปต_ยซะไป,,1
ไอ้เชี่_ มึงเอางานกูไปทำพังหมดเลย,,1
อย่าเอาตัวเองมาเปรียบเทียบกับคนอื่นเลยค่ะ มันคนละชั้นกัน,,1
คุณมันก็แค่พวกขี้แพ้ที่เก่งแต่หน้าคีย์บอร์ดเท่านั้นแหละ,,1
พ่อแม่คงภูมิใจมากเลยนะคะที่มีลูกนิสัยต่ำแบบนี้,,1
รกโลกจริงๆ เลยคนแบบคุณเนี่ย เมื่อไหร่จะหายไปซะที,,1
เป็นได้แค่เศษขยะสังคม อย่ามาสอนคนอื่นเลย,,1
หน้าอย่างมึง ให้ฟรียังคิดหนักเลย,,1
ความคิดเห็นของคุณมันไม่มีค่าพอให้ฉันต้องใส่ใจหรอก,,1
คำแนะนำของคุณมีประโยชน์มากครับ... สำหรับคนที่ไม่มีสมอง,,1
อธิบายไปก็เท่านั้นแหละ คนระดับคุณคงไม่เข้าใจหรอก,,1
ขอบคุณสำหรับความเห็นนะคะ แต่วันหลังไม่ต้องก็ได้ค่ะ,,1
เห็นใจนะคะที่มีปมด้อยจนต้องมาเรียกร้องความสนใจแบบนี้,,1
กูไปนอนก่อนนะมึง พรุ่งนี้เจอกันที่ออฟฟิศ,1,
วันก่อนไปสวนลุม เจอเหี้ยตัวใหญ่มาก นอนอาบแดดอยู่,1,
ฟักทองผัดไข่จานนี้อร่อยมากครับ หวานกำลังดี,1,
สัตว์เลื้อยคลานอย่างเหี้ย ช่วยกำจัดซากสัตว์ในระบบนิเวศ,1,
สัตว์โลกย่อมเป็นไปตามกรรม ปล่อยวางเถอะครับ,1,
รบกวนช่วยส่งไฟล์งานให้ทางอีเมลด้วยนะครัช,1,
ทางบริษัทขออภัยในความไม่สะดวกที่เกิดขึ้นครับ,1,
ขอประทานโทษนะคะ ไม่ทราบว่าห้องประชุมไปทางไหน,1,
ดอกไม้จันทน์ในพิธีศพ เป็นส่วนหนึ่งของวัฒนธรรมไทย,1,
แต่งตัวตัวแม่มากมึง จึ้งจิตจึ้งใจสุดๆ,1,
งานกลุ่มรอบนี้แม่งเสร็จไวชิบหาย ขอบใจพวกมึงมาก,1,
โหหห สวยฉ่ำวัวตายควายล้มไปเลยจ้า,1,
วันนี้ดวงกูดีจัดๆ ถูกหวยเฉยเลยมึง,1,
ร้อนจนตับแลบแล้วเนี่ย เมื่อไหร่ฝนจะตกวะ,1,
ไปกินเหล้ากันมึง วันนี้อยากปลดปล่อยว่ะ,1,
น้องแมวตัวนี้หน้ากวนส้นตีนจัง แต่น่ารักนะ,1,
ตกใจหมดเลยสัส นึกว่าโดนแกล้ง,1,
พยายามต่อไปนะจ๊ะ เผื่อสักวันจะมีสมองเหมือนคนอื่นเขา,,1
หน้าตาแบบนี้หาได้ตามตลาดล่างทั่วไปแหละค่ะ,,1
เป็นได้แค่ขยะสังคม อย่ามาเสนอหน้าสอนคนอื่นเลย,,1
ขอบคุณที่โง่ให้ดูนะ ทำให้รู้ว่าคนเราต่ำได้แค่ไหน,,1
เกิดมาเสียชาติเกิดจริงๆ พ่อแม่คงเสียใจที่มีลูกแบบมึง,,1
สภาพแบบนี้เหรอจะมาเป็นหัวหน้าคนอื่น ตลกว่ะ,,1
กลิ่นความจนมันแรงจังเลยเนอะแถวนี้,,1
มีปมด้อยเหรอถึงชอบระรานคนอื่นไปทั่ว น่าสมเพช,,1
ไอ้เชี้ยยย ตั๋วคอนเสิร์ตกดทันได้ไงวะ โคตรดวงดี,1,
วันนี้กูซวยสัสๆ ทำงานมาทั้งวันแต่ไฟล์หาย,1,
โหหห หุ่นแซ่บชิบหายเลยมึง ไปออกกำลังกายที่ไหนมา,1,
แม่งเอ๊ยยย ลืมรดน้ำต้นไม้ ตายหมดแน่กู,1,
ขอบคุณที่แชร์ความคิดเห็นนะคะ ถึงมันจะไร้สาระมากก็เถอะ,,1
พ่อแม่คงไม่ได้สอนเรื่องมารยาททางสังคมมาสินะคะ,,1
เป็นได้แค่ฝุ่นใต้เท้าเขา อย่าสะเออะไปเทียบเลย,,1
มรึงน่ะแหละที่ผิด ไอ้ควัย อย่ามาแถให้เสียเวลา,,1
มีสมองไว้กั้นหูเฉยๆ เหรอคะ ไม่คิดจะใช้ทำงานบ้างเหรอ,,1
หน้าอย่างมึง ให้ฟรียังต้องคิดเลยว่าเอาไปทำอะไรได้,,1
ค_ยเอ๊ย มึงเก่งนักเหรอ เดี๋ยวเจอกูแน่,,1
อีเ_ี้ยเอ๊ย หน้าตัวเมี_ชิบหาย ทำผิดไม่รับผิด,,1
ไอ้เหี้ยเอ๊ย มึงไปตายซะไป อย่าอยู่ให้หนักแผ่นดิน,,1
อีดอกทอง แย่งผัวชาวบ้านจนเป็นสันดาน,,1
ไอ้หน้าหี มึงพูดเหี้ยอะไรออกมา ไม่ใช้สมองคิด,,1
ส้นตีนเหอะ ทำงานภาษาอะไร ผิดตลอด,,1
อีเหี้ยนี่ สาระแนเรื่องชาวบ้านเก่งจริงๆ,,1
พ่อมึงตายเหรอ ขับรถหาพ่อมึงเหรอไอ้สัด,,1
มึงมันขยะเปียกที่โลกไม่ต้องการ ไอ้ระยำ,,1
ไอ้ควายตัวแม่ หน้าอย่างมึงไม่มีใครเอาหรอก,,1
สันดานหมาๆ แบบมึง ตายไปก็ไม่มีใครเผาผี,,1
อีสัดนรก อย่าให้กูเจอนะ มึงโดนแน่,,1
หน้าหีชิบหาย ทำตัวกร่างไปทั่ว,,1
กะหรี่อย่างมึง มีปัญญาทำได้แค่นี้แหละ,,1
ไอ้หน้าตัวเมีย ทำผิดแล้วไม่กล้ารับ,,1
ควัยเอ๊ย พิมพ์เหี้ยอะไรมา อ่านไม่รู้เรื่อง,,1
มรึงน่ะแหละที่โง่ อย่ามาแถ ไอ้ควา,,1
อีดกทอง คิดว่ารวยแล้วจะพูดอะไรก็ได้เหรอ,,1
ไปลงนรกซะไป ไอ้พวกขยะสังคม,,1
ขออภัยในความไม่สะดวกที่เกิดขึ้นครับ ทางเราจะรีบดำเนินการแก้ไขให้ทันที,1,
ขอบพระคุณสำหรับข้อเสนอแนะที่มีประโยชน์มากค่ะ ดิฉันจะนำไปปรับปรุงงานนะคะ,1,
เรียนท่านสมาชิกทุกท่าน รบกวนตรวจสอบอีเมลเพื่อยืนยันการลงทะเบียนด้วยครับ,1,
ยินดีที่ได้รู้จักและร่วมงานกับคุณนะครับ หวังว่าโครงการนี้จะสำเร็จลุล่วงไปด้วยดี,1,
รบกวนสอบถามข้อมูลเพิ่มเติมเกี่ยวกับรายละเอียดของหลักสูตรการเรียนค่ะ,1,
ขอแสดงความเสียใจกับเหตุการณ์ที่เกิดขึ้นด้วยนะคะ ขอให้ผ่านพ้นไปได้ด้วยดี,1,
เนื่องในโอกาสวันขึ้นปีใหม่ ขอให้ท่านและครอบครัวมีความสุขมาก ๆ ครับ,1,
ขอบคุณที่ไว้วางใจใช้บริการของบริษัทเราเสมอมาค่ะ,1,
รบกวนช่วยส่งเอกสารประกอบการประชุมให้กระผมภายในเย็นนี้ด้วยนะครับ,1,
ประชาสัมพันธ์กิจกรรมจิตอาสาเพื่อชุมชนในวันเสาร์ที่จะถึงนี้ครับ,1,
